# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $1.6 < |y^{Z}| < 2.4$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$1/\sigma d\sigma/dp_{T}^{Z}$ [1/GeV]
RemoveOptions=1
DrawOnly=/CMS_2019_I1753680/d33-x01-y05 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d33-x01-y05 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/CMS_2019_I1753680/d33-x01-y05
LegendOnly=/CMS_2019_I1753680/d33-x01-y05 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d33-x01-y05 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/CMS_2019_I1753680/d33-x01-y05
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d33-x01-y05
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d33-x01-y05
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d33-x01-y05
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.997100e-02	8.394300e-04	8.394300e-04
1.000000e+00	2.000000e+00	4.594700e-02	1.791000e-03	1.791000e-03
2.000000e+00	3.000000e+00	6.559800e-02	2.395800e-03	2.395800e-03
3.000000e+00	4.000000e+00	7.522400e-02	2.604100e-03	2.604100e-03
4.000000e+00	5.000000e+00	7.418900e-02	2.440300e-03	2.440300e-03
5.000000e+00	6.000000e+00	7.207500e-02	2.258500e-03	2.258500e-03
6.000000e+00	7.000000e+00	6.915800e-02	2.073000e-03	2.073000e-03
7.000000e+00	8.000000e+00	6.327700e-02	1.812100e-03	1.812100e-03
8.000000e+00	9.000000e+00	5.968100e-02	1.634300e-03	1.634300e-03
9.000000e+00	1.000000e+01	5.738400e-02	1.510900e-03	1.510900e-03
1.000000e+01	1.100000e+01	5.347000e-02	1.372000e-03	1.372000e-03
1.100000e+01	1.200000e+01	4.822100e-02	1.233900e-03	1.233900e-03
1.200000e+01	1.300000e+01	4.357200e-02	1.113900e-03	1.113900e-03
1.300000e+01	1.400000e+01	4.058500e-02	1.005800e-03	1.005800e-03
1.400000e+01	1.600000e+01	3.772000e-02	8.859800e-04	8.859800e-04
1.600000e+01	1.800000e+01	3.257700e-02	7.199300e-04	7.199300e-04
1.800000e+01	2.000000e+01	2.765000e-02	5.738900e-04	5.738900e-04
2.000000e+01	2.200000e+01	2.567700e-02	4.986300e-04	4.986300e-04
2.200000e+01	2.500000e+01	2.159900e-02	3.870000e-04	3.870000e-04
2.500000e+01	2.800000e+01	1.820100e-02	2.948700e-04	2.948700e-04
2.800000e+01	3.200000e+01	1.478200e-02	1.992000e-04	1.992000e-04
3.200000e+01	3.700000e+01	1.161100e-02	1.247000e-04	1.247000e-04
3.700000e+01	4.300000e+01	8.932300e-03	9.479000e-05	9.479000e-05
4.300000e+01	5.200000e+01	6.212200e-03	7.816800e-05	7.816800e-05
5.200000e+01	6.500000e+01	3.587400e-03	5.151700e-05	5.151700e-05
6.500000e+01	8.500000e+01	1.761300e-03	2.654900e-05	2.654900e-05
8.500000e+01	1.200000e+02	7.546200e-04	1.202000e-05	1.202000e-05
1.200000e+02	1.600000e+02	2.997000e-04	5.663000e-06	5.663000e-06
1.600000e+02	1.900000e+02	1.364700e-04	3.210000e-06	3.210000e-06
1.900000e+02	2.200000e+02	7.570900e-05	2.136400e-06	2.136400e-06
2.200000e+02	2.500000e+02	4.271100e-05	1.400600e-06	1.400600e-06
2.500000e+02	3.000000e+02	2.154100e-05	7.968600e-07	7.968600e-07
3.000000e+02	4.000000e+02	6.868700e-06	3.052400e-07	3.052400e-07
4.000000e+02	1.500000e+03	1.739700e-07	9.933400e-09	9.933400e-09
# END HISTO1D


# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d33-x01-y05
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d33-x01-y05
ScaledBy=6.85605679032383580e-09
Title=MG2918_13TeV
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.382620e-02	1.423889e-03	1.423889e-03
1.000000e+00	2.000000e+00	6.373827e-02	2.328947e-03	2.328947e-03
2.000000e+00	3.000000e+00	8.696799e-02	2.720409e-03	2.720409e-03
3.000000e+00	4.000000e+00	8.849858e-02	2.744226e-03	2.744226e-03
