# BEGIN PLOT
Legend=1
LogY=0
RatioPlotYMin=0.75
RatioPlotYMax=1.25
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $0.8 < |y^{Z}| < 1.2$
XMin=0.1
LogX=1
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
RemoveOptions=1
DrawOnly=/CMS_2019_I1753680/d29-x01-y03 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d29-x01-y03 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/CMS_2019_I1753680/d29-x01-y03
LegendOnly=/CMS_2019_I1753680/d29-x01-y03 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d29-x01-y03 //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG356/merged.yoda.gz/CMS_2019_I1753680/d29-x01-y03
RatioPlot=1
RatioPlotReference=/CMS_2019_I1753680/d29-x01-y03
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d29-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d29-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.032800e+00	7.544600e-02	7.544600e-02
1.000000e+00	2.000000e+00	4.852900e+00	1.675200e-01	1.675200e-01
2.000000e+00	3.000000e+00	6.873600e+00	2.261800e-01	2.261800e-01
3.000000e+00	4.000000e+00	7.788900e+00	2.497000e-01	2.497000e-01
4.000000e+00	5.000000e+00	7.929300e+00	2.489300e-01	2.489300e-01
5.000000e+00	6.000000e+00	7.627600e+00	2.342900e-01	2.342900e-01
6.000000e+00	7.000000e+00	7.162700e+00	2.156100e-01	2.156100e-01
7.000000e+00	8.000000e+00	6.667000e+00	1.973600e-01	1.973600e-01
8.000000e+00	9.000000e+00	6.163900e+00	1.800100e-01	1.800100e-01
9.000000e+00	1.000000e+01	5.677900e+00	1.639500e-01	1.639500e-01
1.000000e+01	1.100000e+01	5.248900e+00	1.504400e-01	1.504400e-01
1.100000e+01	1.200000e+01	4.817500e+00	1.372600e-01	1.372600e-01
1.200000e+01	1.300000e+01	4.445800e+00	1.256200e-01	1.256200e-01
1.300000e+01	1.400000e+01	4.069500e+00	1.143300e-01	1.143300e-01
1.400000e+01	1.600000e+01	3.615600e+00	1.012000e-01	1.012000e-01
1.600000e+01	1.800000e+01	3.081700e+00	8.580100e-02	8.580100e-02
1.800000e+01	2.000000e+01	2.693900e+00	7.456200e-02	7.456200e-02
2.000000e+01	2.200000e+01	2.322900e+00	6.394500e-02	6.394500e-02
2.200000e+01	2.500000e+01	1.957900e+00	5.363800e-02	5.363800e-02
2.500000e+01	2.800000e+01	1.617700e+00	4.408600e-02	4.408600e-02
2.800000e+01	3.200000e+01	1.309400e+00	3.565500e-02	3.565500e-02
3.200000e+01	3.700000e+01	1.023700e+00	2.811700e-02	2.811700e-02
3.700000e+01	4.300000e+01	7.556300e-01	2.098400e-02	2.098400e-02
4.300000e+01	5.200000e+01	5.242600e-01	1.472100e-02	1.472100e-02
5.200000e+01	6.500000e+01	3.143500e-01	8.947700e-03	8.947700e-03
6.500000e+01	8.500000e+01	1.661100e-01	4.824300e-03	4.824300e-03
8.500000e+01	1.200000e+02	7.131100e-02	2.161700e-03	2.161700e-03
1.200000e+02	1.600000e+02	2.631500e-02	8.492600e-04	8.492600e-04
1.600000e+02	1.900000e+02	1.117800e-02	3.830100e-04	3.830100e-04
1.900000e+02	2.200000e+02	6.025200e-03	2.195700e-04	2.195700e-04
2.200000e+02	2.500000e+02	3.471300e-03	1.338700e-04	1.338700e-04
2.500000e+02	3.000000e+02	1.767100e-03	7.140500e-05	7.140500e-05
3.000000e+02	4.000000e+02	5.830100e-04	2.577100e-05	2.577100e-05
4.000000e+02	1.500000e+03	2.425100e-05	1.233200e-06	1.233200e-06
# END HISTO1D


# BEGIN HISTO1D //data9/Users/choij/cms-mg4gpu-integration/genValidation/DY01234j_13TeV_MG2918/merged.yoda.gz/CMS_2019_I1753680/d29-x01-y03
ErrorBars=1
LineColor=red
